prix,surface,ville,type_bien,nb_pieces,source
630000,,Ain Zaghouan,2,,remax
1350000,,Chotrana,2,,remax
1350000,,Chotrana,2,,remax
590000,,Djerba - Houmt Souk,2,,remax
440000,,Djerba - Houmt Souk,2,,remax
1500,,Jardins de Carthage,2,,remax
6000,,Gammarth,2,,remax
250000,,Ezzahra,2,,remax
1150000,,Ennasr 1-2,2,,remax
750000,,Cité El Ghazala,2,,remax
990000,,Hammamet,2,,remax
690000,,Hammamet,2,,remax
2989,,Carthage Salambo,2,,remax
0,,Borj Cedria,1,,remax
0,,Notre Dame,2,,remax
2619,,Gammarth,2,,remax
2500000,,Carthage Salambo,2,,remax
753600,,Hammamet Sud,2,,remax
1600,,La Marsa,2,,remax
2700,,Gammarth,2,,remax
870000,,Riadh Landalous,2,,remax
150000,,L'Aouina,1,,remax
5000,,Zone Industrielle du Kram (lac ind),1,,remax
80000,,La Soukra,1,,remax
1350000,,Chotrana,2,,remax
260000,,Djerba - Houmt Souk,2,,remax
3200,,La Soukra,2,,remax
320000,,Djerba - Midoun,2,,remax
502000,,La Soukra,2,,remax
862000,,La Soukra,2,,remax
250000,,El Haouaria,2,,remax
1250000,,Kélibia,2,,remax
1000000,,El Menzah 1,2,,remax
1050,,L'Aouina,2,,remax
1361350,,Nabeul,2,,remax
430000,,La Manouba,2,,remax
2500000,,Charguia 2,1,,remax
1050000,,El Omrane,2,,remax
2000000,,Soliman,1,,remax
340000,,La Manouba,2,,remax
1300000,,Hammamet Sud,2,,remax
0,,Hammamet Sud,2,,remax
4400,,El Manar 3,2,,remax
3000,,Gammarth,2,,remax
430000,,L'Aouina,2,,remax
135000,,L'Aouina,2,,remax
17100,,Zone Industrielle du Kram (lac ind),1,,remax
350000,,Hammamet Nord,2,,remax
2100,,La Goulette,2,,remax
245000,,La Soukra,2,,remax
60000,,El Menzah 5,1,,remax
950000,,Ezzahra,2,,remax
2500,,Les berges du lac 1,1,,remax
6700,,La Marsa,2,,remax
6700,,La Marsa,2,,remax
2000,,La Marsa,2,,remax
2500,,Les berges du lac 1,1,,remax
2619,,La Soukra,2,,remax
1350,,La Soukra,2,,remax
1550,,Gammarth,2,,remax
2500,,Jardins de Carthage,2,,remax
360000,,La Marsa,2,,remax
7500,,Centre Urbain Nord,1,,remax
400000,,La Soukra,2,,remax
990000,,Sidi Daoud,2,,remax
2619,,Sidi Thabet,2,,remax
4500,,Sidi Daoud,1,,remax
1400000,,L'Aouina,2,,remax
5525,,Ben Arous,2,,remax
1700,,Ennasr 1-2,2,,remax
2700,,Carthage Amilcar,2,,remax
350000,,Ezzahra,2,,remax
400000,,Mornag,2,,remax
2619,,El Menzah 5,1,,remax
1100000,,Bizerte Nord,2,,remax
515000,,Ain Zaghouan,2,,remax
5000,,Notre Dame,2,,remax
90000,,Sidi Daoud,1,,remax
410000,,La Soukra,2,,remax
547000,,La Soukra,2,,remax
1800,,Djerba - Midoun,2,,remax
4000,,Les Jardins du lac 2,2,,remax
1250000,,La Soukra,2,,remax
100000,,Djerba - Houmt Souk,2,,remax
10000,,Le Kram,1,,remax
1500,,L'Aouina,2,,remax
185000,,Djerba - Midoun,2,,remax
12000,,La Marsa,2,,remax
1350000,,Gammarth,2,,remax
750000,,Djerba - Houmt Souk,2,,remax
900000,,Gammarth,2,,remax
1039000,,Jardins de Carthage,2,,remax
1220000,,Jardins de Carthage,2,,remax
1490000,,La Marsa,2,,remax
1380000,,La Marsa,2,,remax
1888000,,Jardins de Carthage,2,,remax
1360000,,La Marsa,2,,remax
3727800,,La Marsa,2,,remax
2000,,Lac 3 Cité du Park,2,,remax
3000,,La Marsa,1,,remax
420000,,Tunis Centre Ville,1,,remax
240000,,La Soukra,2,,remax
270000,,El Manar 2,2,,remax
2600,,Djerba - Houmt Souk,2,,remax
1800,,Djerba - Houmt Souk,2,,remax
3200,,La Marsa,2,,remax
350000,,Raoued,2,,remax
1200000,,El Omrane,2,,remax
1400000,,Ras Jebel,2,,remax
590000,,Djerba - Houmt Souk,2,,remax
6000,,Gammarth,2,,remax
19500,,Zone Industrielle du Kram (lac ind),1,,remax
4200,,Gammarth,2,,remax
2700,,La Marsa,2,,remax
750000,,Djerba - Houmt Souk,2,,remax
340000,,Djerba - Houmt Souk,2,,remax
87500,,Djerba - Houmt Souk,2,,remax
570000,,Djerba - Houmt Souk,2,,remax
570000,,Djerba - Houmt Souk,1,,remax
130000,,Djerba - Houmt Souk,2,,remax
700000,,Jardins de Carthage,2,,remax
1700000,,Carthage Byrsa,2,,remax
1550000,,El Menzah 6,2,,remax
867350,,Les berges du lac 1,2,,remax
520000,,Kélibia,2,,remax
11000,,Montplaisir,1,,remax
1600000,,Carthage Byrsa,2,,remax
16000,,Les Jardins du lac 2,2,,remax
2000,,La Marsa,2,,remax
463000,,La Soukra,2,,remax
474000,,La Soukra,2,,remax
2150,,Jardins de Carthage,2,,remax
1000,,Chott mariem,2,,remax
1000,,Chott mariem,2,,remax
850000,,Chotrana,2,,remax
320000,,Ennasr 1-2,2,,remax
1213120,,Fouchana,2,,remax
1300,,Sousse corniche,2,,remax
2620,,Lac 2 Cité Les Pins,2,,remax
350000,,Oued Ellil,2,,remax
4800,,Ain Zaghouan,1,,remax
220000,,Kélibia,2,,remax
1600000,,Kélibia,2,,remax
386000,,Ain Zaghouan,2,,remax
650,,Raoued,2,,remax
700,,Raoued,2,,remax
650000,,Kélibia,2,,remax
1500,,Ain Zaghouan,2,,remax
199000,,Sidi Thabet,2,,remax
1100,,L'Aouina,2,,remax
1100,,L'Aouina,2,,remax
1100,,L'Aouina,2,,remax
0,,El Manar 1,2,,remax
1500,,Khezama,2,,remax
234600,,Cité El Ghazala,2,,remax
310000,,Borj Louzir,2,,remax
790000,,Korba,2,,remax
380000,,Mnihla,2,,remax
1300,,Ennasr 1-2,2,,remax
235000,,Borj Cedria,2,,remax
6981000,,Hammamet Nord,2,,remax
160000,,Radès,2,,remax
6000,,Cité Jardin,1,,remax
330000,,Tunis Belvédère,2,,remax
1200,,Le Bardo,1,,remax
12000,,Centre Urbain Nord,1,,remax
285000,,Ain Zaghouan,2,,remax
5525,,Mégrine,2,,remax
169000,,Kairouan Nord,2,,remax
950000,,Djerba - Midoun,2,,remax
720000,,Chotrana,2,,remax
2700,,Ain Zaghouan,2,,remax
2000,,Ennasr 1-2,2,,remax
670000,,La Manouba,2,,remax
1500000,,La Soukra,2,,remax
790000,,Jardins de Carthage,2,,remax
1900,,Lac 2 Cité Les Pins,2,,remax
1168000,,Le Bardo,2,,remax
3500,,Sidi Daoud,2,,remax
1480000,,Béni Khiar,2,,remax
3500,,El Menzah,1,,remax
664290,,Djerba - Midoun,2,,remax
120000,,Djerba - Midoun,2,,remax
150000,,Djerba - Houmt Souk,2,,remax
540000,,Djerba - Houmt Souk,2,,remax
330000,,Djerba - Midoun,2,,remax
3800,,Mutuelle Ville,2,,remax
280000,,L'Aouina,1,,remax
3000,,Djerba - Midoun,2,,remax
3000,,Les Jardins du lac 2,1,,remax
2619,,Mégrine,1,,remax
6500,,Cité Mahrajene,1,,remax
80000,,Mnihla,1,,remax
3000,,El Menzah 4,1,,remax
3350000,,Fouchana,1,,remax
350000,,Kélibia,2,,remax
330000,,Sidi Thabet,2,,remax
990000,,Kélibia,2,,remax
530000,,Djerba - Midoun,2,,remax
275000,,La Soukra,2,,remax
3488,,Les Jardins du lac 2,1,,remax
15000,,El Menzah 4,1,,remax
425000,,Djerba - Midoun,2,,remax
650000,,Djerba - Houmt Souk,2,,remax
920000,,Ain Zaghouan,1,,remax
200,,Zone Industrielle du Kram (lac ind),1,,remax
36000,,Les berges du lac 1,1,,remax
733000,,Jardins de Carthage,2,,remax
1033000,,Jardins de Carthage,2,,remax
1200000,,Mornag,2,,remax
312000,,La Soukra,2,,remax
2000,,Djerba - Midoun,2,,remax
721200,,La Soukra,2,,remax
5525,,La Manouba,2,,remax
800,,Djerba - Midoun,1,,remax
320000,,Kélibia,2,,remax
1650000,,El Menzah 9,2,,remax
650000,,Kélibia,2,,remax
400000,,Dar Allouche,2,,remax
935000,,Béni Khiar,2,,remax
750000,,Kélibia,2,,remax
1300000,,Hammam Ghezèze,2,,remax
1300,,La Marsa,2,,remax
280000,,Djerba - Midoun,2,,remax
140000,,Djerba - Houmt Souk,2,,remax
360000,,La Marsa,1,,remax
1100000,,La Soukra,2,,remax
3488,,Tunis Belvédère,1,,remax
1000,,La Soukra,2,,remax
255000,,La Soukra,2,,remax
2500,,Jardins de Carthage,2,,remax
420000,,La Soukra,2,,remax
75180,,Hammamet,2,,remax
52500,,Hammamet,2,,remax
99120,,Hammamet,2,,remax
90230,,Hammamet,2,,remax
56980,,Hammamet,2,,remax
120050,,Hammamet,2,,remax
2000,,Les berges du lac 1,1,,remax
900,,Chott mariem,2,,remax
1500000,,Tunis Centre Ville,2,,remax
750000,,Djerba - Houmt Souk,2,,remax
1500000,,Djerba - Midoun,2,,remax
350000,,Djerba - Midoun,2,,remax
860000,,Djerba - Midoun,2,,remax
745000,,Djerba - Midoun,2,,remax
142560,,Raoued,2,,remax
280000,,Hammam Ghezèze,2,,remax
2600,,Jardins de Carthage,2,,remax
6139600,,Riadh Landalous,2,,remax
2984800,,Riadh Landalous,2,,remax
2200,,Jardins de Carthage,2,,remax
900,,L'Aouina,2,,remax
980000,,Jardins de Carthage,2,,remax
1950,,Sidi Daoud,2,,remax
4000,,Sidi Bou Said,2,,remax
1800,,La Marsa,2,,remax
840000,,Djerba - Houmt Souk,2,,remax
690000,,Djerba - Houmt Souk,2,,remax
950000,,El Haouaria,2,,remax
690000,,La Soukra,2,,remax
880000,,Le Bardo,2,,remax
850000,,Le Bardo,2,,remax
1200000,,Djerba - Houmt Souk,2,,remax
275000,,Djerba - Midoun,2,,remax
500000,,Djerba - Ajim,2,,remax
2200,,Les berges du lac 1,2,,remax
12000,,Les Jardins du lac 2,2,,remax
8000,,Les Jardins du lac 2,2,,remax
205000,,Ennasr 1-2,2,,remax
450000,,Les Jardins du lac 2,1,,remax
3150,,Les berges du lac 1,1,,remax
5525,,El Mourouj,2,,remax
1800,,Sidi Daoud,2,,remax
3488,,El Menzah 1,2,,remax
490000,,Hammamet Sud,2,,remax
1560,,Alain Savary,1,,remax
5500,,Lac 3 Cité du Park,1,,remax
1100000,,Djerba - Midoun,2,,remax
339055,,Djerba - Midoun,2,,remax
800000,,Gammarth,2,,remax
1700000,,El Menzah 9,2,,remax
12000,,Les berges du lac 1,2,,remax
200000,,Sidi Daoud,1,,remax
1300000,,Hammam Ghezèze,2,,remax
340000,,Djerba - Houmt Souk,2,,remax
750000,,Djerba - Houmt Souk,2,,remax
540000,,Djerba - Houmt Souk,2,,remax
400000,,Djerba - Houmt Souk,2,,remax
1600,,Cité El Khadra,1,,remax
1600,,Cité Jardin,1,,remax
0,,Djerba - Houmt Souk,2,,remax
5400,,La Marsa,1,,remax
4350,,Cité El Khadra,1,,remax
370000,,Alain Savary,1,,remax
580000,,Djerba - Houmt Souk,2,,remax
2400,,Les berges du lac 1,1,,remax
3100,,Les berges du lac 1,1,,remax
493000,,Djerba - Houmt Souk,2,,remax
425000,,Hammamet Nord,2,,remax
390000,,Hammamet Nord,2,,remax
8500,,La Marsa,2,,remax
200000,,Djerba - Houmt Souk,2,,remax
350000,,Djerba - Midoun,2,,remax
550000,,Dar Allouche,2,,remax
590000,,Kélibia,2,,remax
2000000,,Raoued,2,,remax
275000,,Le Bardo,2,,remax
1700000,,Soliman,1,,remax
920000,,Bizerte Sud,2,,remax
340000,,El Menzah 9,2,,remax
2500,,Djerba - Midoun,2,,remax
2500,,Djerba - Midoun,2,,remax
2400000,,Les Jardins du lac 2,2,,remax
7442400,,Chotrana,2,,remax
1050000,,Nouvelle Ariana,2,,remax
1600,,Cité El Khadra,1,,remax
4500,,Zone Industrielle du Kram (lac ind),1,,remax
80000,,Raoued,2,,remax
14500,,Les Jardins du lac 2,2,,remax
260000,,Riadh Landalous,2,,remax
2619,,Chotrana,2,,remax
2619,,Jardins de Carthage,2,,remax
0,,Montplaisir,2,,remax
6500,,Les Jardins du lac 2,1,,remax
2000,,Centre Urbain Nord,1,,remax
680000,,Djerba - Midoun,2,,remax
7000,,Les Jardins du lac 2,1,,remax
2000,,Djerba - Midoun,2,,remax
14000,,Alain Savary,1,,remax
285000,,Kélibia,2,,remax
380000,,El Menzah 7,2,,remax
0,,Fouchana,1,,remax
375000,,Cité El Ghazala,2,,remax
830000,,Gammarth,2,,remax
30795,,Charguia 2,1,,remax
20000,,Les berges du lac 1,1,,remax
590000,,Djerba - Midoun,2,,remax
0,,Ennasr 1-2,1,,remax
638550,,Chotrana,2,,remax
740000,,La Soukra,2,,remax
1250000,,La Soukra,2,,remax
172500,,Bab Souika,2,,remax
2000,,Djerba - Midoun,2,,remax
1750,,Ennasr 1-2,1,,remax
2000,,Ennasr 1-2,2,,remax
320000,,Ennasr 1-2,2,,remax
588000,,Ennasr 1-2,2,,remax
729000,,Ennasr 1-2,2,,remax
460000,,Ennasr 1-2,2,,remax
0,,Lac 2 Cité Les Pins,2,,remax
711000,,Ennasr 1-2,2,,remax
750000,,Sidi Thabet,2,,remax
546250,,Mnihla,2,,remax
280000,,Petite Ariana,2,,remax
3488,,Bab El Bhar,1,,remax
180000,,Montplaisir,1,,remax
460000,,Les berges du lac 1,1,,remax
5000,,La Marsa,2,,remax
3000,,Les berges du lac 1,2,,remax
4800,,Les Jardins du lac 2,2,,remax
1500000,,Radès,2,,remax
210000,,Sousse Ville,2,,remax
200000,,Sousse Ville,2,,remax
230000,,Sousse Ville,2,,remax
271000,,Sousse Ville,2,,remax
298000,,Sousse Ville,2,,remax
2200000,,La Marsa,2,,remax
70000,,Raoued,2,,remax
477000,,Mnihla,2,,remax
240000,,Chott mariem,2,,remax
3488,,Ben Arous,2,,remax
2000,,Jardins de Carthage,2,,remax
1100,,Ennasr 1-2,2,,remax
3500,,Montplaisir,1,,remax
2000000,,Riadh Landalous,2,,remax
4500,,Ain Zaghouan,2,,remax
5525,,Kélibia,2,,remax
570000,,Korba,2,,remax
455000,,Djerba - Houmt Souk,2,,remax
2700,,Djerba - Houmt Souk,2,,remax
3500,,Raoued,2,,remax
5000,,La Marsa,2,,remax
1400,,Borj Louzir,1,,remax
270000,,Djerba - Houmt Souk,2,,remax
3500,,Les Jardins du lac 2,2,,remax
630000,,Kélibia,2,,remax
1500,,L'Aouina,2,,remax
2800,,La Marsa,2,,remax
850000,,Djerba - Houmt Souk,2,,remax
310000,,L'Aouina,2,,remax
3000,,Lac 2 Cité Les Pins,2,,remax
425000,,Djerba - Midoun,2,,remax
220000,,El Manar 2,2,,remax
474000,,Hammamet Nord,2,,remax
3488,,Utique,1,,remax
3000000,,L'Aouina,1,,remax
1250000,,Djerba - Midoun,2,,remax
430000,,Djerba - Houmt Souk,2,,remax
148800,,Djerba - Houmt Souk,2,,remax
1800,,La Marsa,2,,remax
3488,,Tunis Centre Ville,1,,remax
550000,,Djerba - Midoun,2,,remax
3488,,Tunis Centre Ville,1,,remax
380000,,Séjoumi,2,,remax
770000,,Sidi Bou Said,2,,remax
890000,,La Soukra,2,,remax
428000,,Riadh Landalous,1,,remax
2650,,Les berges du lac 1,1,,remax
5525,,La Soukra,2,,remax
6200,,La Soukra,1,,remax
5525,,La Soukra,2,,remax
3200,,Les berges du lac 1,2,,remax
1620000,,Riadh Landalous,2,,remax
250000,,El Omrane supérieur,2,,remax
315450,,Hammamet Sud,2,,remax
187650,,Ghar El Melh,2,,remax
860000,,Ariana Ville,2,,remax
230000,,Raoued,2,,remax
104550,,Raoued,2,,remax
6000,,La Soukra,1,,remax
2700,,Centre Urbain Nord,1,,remax
390000,,Radès,2,,remax
479000,,Jardins de Carthage,2,,remax
320000,,Ezzahra,1,,remax
260000,,Le Bardo,2,,remax
440000,,Hammamet Nord,2,,remax
268000,,Hammamet Nord,2,,remax
550000,,Djerba - Midoun,2,,remax
200000,,Medina Jedida,2,,remax
0,,Cité El Ghazala,1,,remax
0,,Charguia 1,1,,remax
510000,,Djerba - Houmt Souk,2,,remax
1600,,La Marsa,2,,remax
900000,,Djerba - Midoun,2,,remax
0,,Lac 2 Cité Les Pins,1,,remax
280000,,Petite Ariana,2,,remax
165000,,Petite Ariana,2,,remax
320000,,La Goulette,2,,remax
1200,,Le Bardo,1,,remax
1500,,La Manouba,1,,remax
12000,,Les Jardins du lac 2,2,,remax
0,,Les berges du lac 1,1,,remax
660000,,Nabeul,2,,remax
6000,,La Marsa,2,,remax
550000,,Djerba - Houmt Souk,2,,remax
80000,,Ben Arous,1,,remax
150000,,Djerba - Midoun,2,,remax
1000000,,Djerba - Midoun,2,,remax
310000,,Ain Zaghouan,2,,remax
541000,,Ain Zaghouan,2,,remax
546000,,Ain Zaghouan,2,,remax
0,,Hammamet,2,,remax
1500,,Gammarth,2,,remax
7500,,Les Jardins du lac 2,2,,remax
1250,,Ennasr 1-2,1,,remax
550000,,La Soukra,2,,remax
3500,,La Marsa,2,,remax
7500000,,Carthage Hannibal,2,,remax
223000,,Moknine,2,,remax
850000,,Sidi Thabet,2,,remax
6400,,Lac 3 Cité du Park,1,,remax
7220500,,La Marsa,2,,remax
650000,,La Marsa,2,,remax
725620,,Hammamet,2,,remax
1560000,,Gammarth,2,,remax
275000,,Ariana Ville,2,,remax
2850000,,Mohamedia,2,,remax
1100000,,La Soukra,1,,remax
250000,,Carthage,1,,remax
6500,,La Marsa,2,,remax
1300,,Carthage Byrsa,2,,remax
4500,,La Marsa,2,,remax
1500000,,Raoued,2,,remax
6400,,Lac 3 Cité du Park,1,,remax
7000,,Lac 2 Cité Les Pins,2,,remax
740000,,Gammarth,2,,remax
1250,,L'Aouina,2,,remax
2619,,Mégrine,1,,remax
2400,,Les berges du lac 1,2,,remax
1500,,La Manouba,1,,remax
188000,,Djerba - Houmt Souk,2,,remax
182850,,Djerba - Houmt Souk,2,,remax
470000,,Djerba - Houmt Souk,2,,remax
2619,,Hammam Ghezèze,2,,remax
2700,,La Soukra,2,,remax
0,,Ennasr 1-2,2,,remax
580000,,La Manouba,2,,remax
0,,El Menzah 1,2,,remax
6000,,La Soukra,1,,remax
923200,,La Soukra,2,,remax
410000,,Nabeul,2,,remax
830000,,Mornag,2,,remax
6000,,Fouchana,1,,remax
2200000,,El Haouaria,1,,remax
159000,,Djerba - Houmt Souk,2,,remax
1500000,,Ennasr 1-2,2,,remax
16000,,Mégrine,1,,remax
2500,,Les berges du lac 1,1,,remax
6500,,Les berges du lac 1,1,,remax
0,,La Soukra,1,,remax
1200000,,Alain Savary,1,,remax
670000,,Ain Zaghouan,2,,remax
85000,,El Batan,2,,remax
6768300,,Les berges du lac 1,1,,remax
0,,La Marsa,1,,remax
8500000,,Djerba - Midoun,1,,remax
1900000,,Kélibia,2,,remax
360000,,Nabeul,2,,remax
990000,,Hammamet,2,,remax
850000,,Hammamet,2,,remax
200000,,Kélibia,2,,remax
420000,,Nabeul,2,,remax
1500,,Nabeul,2,,remax
7500,,Mutuelle Ville,1,,remax
730000,,Nabeul,2,,remax
600000,,Djerba - Houmt Souk,2,,remax
350000,,Djerba - Houmt Souk,2,,remax
770000,,La Marsa,2,,remax
570000,,La Marsa,2,,remax
590000,,La Marsa,2,,remax
1250,,Jardins d’El Menzah2,2,,remax
1500,,La Soukra,1,,remax
0,,Raoued,2,,remax
3488,,Cité El Ghazala,1,,remax
3488,,Zone Industrielle du Kram (lac ind),1,,remax
250000,,El Menzah 5,1,,remax
220000,,Djerba - Ajim,2,,remax
900000,,Habbana 2,2,,remax
3000,,Tunis Centre Ville,1,,remax
110000,,Carthage Byrsa,1,,remax
700,,L'Aouina,1,,remax
850000,,Borj Louzir,2,,remax
34000,,Lac 3 Cité du Park,1,,remax
250000,,El Menzah 5,1,,remax
527000,,Ennasr 1-2,2,,remax
369000,,Ennasr 1-2,2,,remax
0,,Hammamet Sud,2,,remax
0,,Hammamet Sud,2,,remax
1000000,,Kélibia,2,,remax
1650,,La Soukra,2,,remax
1000,,Chotrana,2,,remax
1092300,,Chotrana,2,,remax
860000,,Chotrana,2,,remax
640000,,Les berges du lac 1,2,,remax
5525,,Sidi Thabet,2,,remax
830000,,El Menzah 9,2,,remax
4787625,,La Marsa,1,,remax
4694550,,La Marsa,1,,remax
0,,La Marsa,1,,remax
415000,,Jardins d’El Menzah2,2,,remax
1390000,,Gammarth,2,,remax
125000,,Djerba - Midoun,2,,remax
120000,,Djerba - Midoun,2,,remax
2000,,Djerba - Midoun,2,,remax
255000,,Djerba - Midoun,2,,remax
400,,Djerba - Midoun,2,,remax
320000,,Djerba - Midoun,2,,remax
1300000,,Djerba - Midoun,2,,remax
3500,,Djerba - Midoun,2,,remax
680000,,Djerba - Ajim,2,,remax
2200,,Djerba - Midoun,2,,remax
2500,,Djerba - Midoun,2,,remax
2200,,Djerba - Midoun,2,,remax
2500,,Djerba - Midoun,2,,remax
315000,,Djerba - Midoun,2,,remax
900000,,Djerba - Midoun,2,,remax
545000,,Djerba - Midoun,2,,remax
215000,,Djerba - Midoun,2,,remax
280000,,Djerba - Midoun,2,,remax
435000,,Djerba - Midoun,2,,remax
365000,,Djerba - Houmt Souk,2,,remax
254000,,Chotrana,2,,remax
239000,,Chotrana,2,,remax
0,,Oued Ellil,2,,remax
1150,,Ain Zaghouan,2,,remax
1000,,Ariana Ville,1,,remax
5000,,Sidi Bou Said,2,,remax
10000,,Jardins de Carthage,1,,remax
360000,,Ain Zaghouan,2,,remax
450000,,Hammamet Sud,2,,remax
355000,,Riadh Landalous,2,,remax
720000,,Hammamet,2,,remax
1150000,,Nabeul,2,,remax
597000,,Ennasr 1-2,2,,remax
170000,,La Manouba,2,,remax
350000,,L'Aouina,1,,remax
120000,,Fouchana,1,,remax
150000,,Raoued,2,,remax
1161150,,Djerba - Houmt Souk,2,,remax
200000,,Fouchana,1,,remax
471750,,Radès,2,,remax
585000,,Djerba - Houmt Souk,2,,remax
120.0,L Aouina,Tunis,,,tayara
