address,area,area_m2,baths,beds,city,external_id,image,price,property_type,rooms,source,status,title,url
1055 L'Aouina Tunis Tunisie,,,,,L'Aouina,2,,430000,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/2
L'Aouina Tunis Tunisie,,,,,L'Aouina,4,,135000,2,,remax,,L'Aouina Tunis Tunisie,https://www.remax.com.tn/listings/4
2060 Zone Industrielle du Kram (lac ind) Tunis Tunisie,,,,,Zone Industrielle du Kram (lac ind),101,,17100,1,,remax,15000,Zone Industrielle du Kram (lac ind) Tunis Tunisie,https://www.remax.com.tn/listings/101
Hammamet Nord Nabeul Tunisie,,,,,Hammamet Nord,76,,350000,2,,remax,,Hammamet Nord Nabeul Tunisie,https://www.remax.com.tn/listings/76
Kheireddine La Goulette Tunis Tunisie,,,,,La Goulette,67,,2100,2,,remax,,La Goulette Tunis Tunisie,https://www.remax.com.tn/listings/67
La Soukra- La Soukra La Soukra Ariana Tunisie,,,,,La Soukra,4,,245000,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/4
El Menzah 5 Ariana Tunisie,,,,,El Menzah 5,11,,60000,1,,remax,,El Menzah 5 Ariana Tunisie,https://www.remax.com.tn/listings/11
Ezzahra Ben Arous Tunisie,,,,,Ezzahra,12,,950000,2,,remax,,Ezzahra Ben Arous Tunisie,https://www.remax.com.tn/listings/12
1053 Les berges du lac 1 Tunis Tunisie,,,,,Les berges du lac 1,4,,2500,1,,remax,,Les berges du lac 1 Tunis Tunisie,https://www.remax.com.tn/listings/4
La Marsa Tunis Tunisie,,,,,La Marsa,16,,6700,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/16
La Marsa Tunis Tunisie,,,,,La Marsa,17,,6700,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/17
La Marsa Tunis Tunisie,,,,,La Marsa,18,,2000,2,,remax,,La Marsa Tunis Tunisie,https://www.remax.com.tn/listings/18
Les berges du lac 1 Tunis Tunisie,,,,,Les berges du lac 1,3,,2500,1,,remax,,Les berges du lac 1 Tunis Tunisie,https://www.remax.com.tn/listings/3
La Soukra Ariana Tunisie,,,,,La Soukra,64,,2619,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/64
La Soukra Ariana Tunisie,,,,,La Soukra,58,,1350,2,,remax,,La Soukra Ariana Tunisie,https://www.remax.com.tn/listings/58
Gammarth Tunis Tunisie,,,,,Gammarth,7,,1550,2,,remax,,Gammarth Tunis Tunisie,https://www.remax.com.tn/listings/7
